How effective was the workshop in teaching you to use Quarto for websites blogs and technical writing?,How clear was the instruction on the end-to-end machine learning workflow from data preprocessing to model deployment?, How beneficial was the hands-on approach to learning and applying machine learning techniques?, How would you rate the knowledge and expertise of the resource person in the topics covered?,How satisfactory was the support and assistance provided by the resource person during the workshop?
5,5,5,5,5
5,4,5,5,5
5,4,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,4,4,5,5
5,5,5,5,5
5,5,5,5,5
5,4,4,5,5
5,5,5,5,5
5,4,4,4,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,5,5,5,5
5,4,4,4,5
5,4,5,5,5
4,4,3,4,4
5,4,4,5,5
4,4,4,4,5
5,5,5,5,5
